"model","3d","display_format","diagonal_size","review_date"
"Panasonic TC P65ST50 - 65' Class ( 64.7' viewable ) 3D plasma TV","Yes","1080p (FullHD)","65 in","Mar. 28, 2012"
"Panasonic TC-P50ST50","Yes","1080p (FullHD)","50 in","Mar. 28, 2012"
"Panasonic TC P65ST50 - 65' Class ( 64.7' viewable ) 3D plasma TV","Yes","1080p (FullHD)","65 in","Mar. 28, 2012"
"Sharp LC-80LE632U","","1080p (FullHD)","80 in","Mar. 16, 2012"
"Sharp LC-52LE640U","","1080p","52 in","Mar. 13, 2012"
"VIZIO E552VLE - 55' Class ( 54.64' viewable ) LCD TV","","1080p (FullHD)","55 in","Mar. 21, 2012"
"Sharp LC-60LE640U","","1080p (FullHD)","60 in","Mar. 13, 2012"
"Sharp LC-70LE640U","","1080p","70 in","Mar. 13, 2012"
"Sharp PRO 60X5FD - 60' 3D LED TV","Yes","1080p (FullHD)","60 in","Dec. 8, 2011"
"Vizio Razor M3D550SR","Yes","1080p (FullHD)","55 in","Dec. 15, 2011"
"Sony Bravia KDL-40EX523","","1080p (FullHD)","40 in","Nov. 23, 2011"
"Sony Bravia KDL-46EX523","","1080p (FullHD)","46 in","Nov. 23, 2011"
"Sony Bravia KDL-32EX523","","1080p (FullHD)","32 in","Nov. 23, 2011"
"Samsung LN46D550 - 46' Class ( 45.9' viewable ) LCD TV","","1080p (FullHD)","46 in","Nov. 16, 2011"
"Samsung LN32D550 - 32' Class ( 31.5' viewable ) LCD TV","","1080p (FullHD)","32 in","Nov. 16, 2011"
"Samsung LN37D550","","1080p (FullHD)","37 in","Nov. 16, 2011"
"Vizio E3D470VX","Yes","1080p (FullHD)","47 in","Nov. 15, 2011"
"Samsung LN40D550 - 40' LCD TV","","1080p (FullHD)","40 in","Nov. 16, 2011"
"Vizio E3D320VX","Yes","1080p (FullHD)","32 in","Nov. 15, 2011"
"VIZIO Theater 3D E3D420VX - 42' 3D LCD TV","Yes","1080p (FullHD)","42 in","Nov. 15, 2011"
"Sony Bravia KDL-46BX420","No","1080p","46 in","Oct. 31, 2011"
"LG 42LV5500 - 42' LED TV","","1080p (FullHD)","42 in","Nov. 9, 2011"
"Sony Bravia KDL-32BX420","No","1080p","32 in","Oct. 31, 2011"
"Samsung LN40D630","","1080p (FullHD)","40 in","Oct. 25, 2011"
"Sony KDL-60NX720","Yes","1080p","60 in","Oct. 11, 2011"
"Samsung LN46D630","","1080p (FullHD)","46 in","Oct. 25, 2011"
"Sony Bravia KDL-55NX720","Yes","1080p","55 in","Oct. 11, 2011"
"Samsung PN51D7000","Yes","1080p","51 in","Oct. 11, 2011"
"Samsung PN59D7000","Yes","1080p","59 in","Oct. 11, 2011"
"Samsung PN64D7000","Yes","1080p","64 in","Oct. 11, 2011"
"LG 55LW9800 - 55' Class ( 54.6' viewable ) 3D LED TV","Yes","1080p (FullHD)","55 in","Oct. 7, 2011"
"Sharp LC 70LE732U - 70' Class ( 69.5' viewable ) LED TV","","1080p (FullHD)","70 in","Jul. 26, 2011"
"Sharp Aquos Quattron LC-70LE733U","","1080p","70 in","Jul. 26, 2011"
"Toshiba 42TL515","Yes 
Passive-3D compatible","1080p","42.0 in","Jul. 21, 2011"
"Sharp LC 70LE734U - 70' Class ( 69.5' viewable ) LED TV","","1080p (FullHD)","70 in","Jul. 26, 2011"
"Toshiba 32TL515","Yes","1080p","32 in","Jul. 21, 2011"
"Toshiba 47TL515","Yes 
Passive-3D compatible","1080p","47 in","Jul. 21, 2011"
"Philips 46PFL5706/F7","No","1080p (FullHD)","46 in","Jul. 13, 2011"
"Philips 40PFL5706/F7","","1080p (FullHD)","40 in","Jul. 13, 2011"
"Sony Bravia XBR-65HX929","Active 3D","1080p","65 in","Jul. 5, 2011"
"Sony Bravia XBR-46HX929","Active 3D","1080p","46 in","Jul. 5, 2011"
"LG 47LW5600 - 47' Class ( 46.9' viewable ) 3D LED TV","Yes","1080p (FullHD)","47 in","Jun. 19, 2011"
"Samsung PN59D8000","Yes","1080p","59 in","Jun. 8, 2011"
"Samsung PN51D8000","Yes","1080p","51 in","Jun. 8, 2011"
"Samsung PN64D8000","Yes","1080p","64 in","Jun. 8, 2011"
"Sharp Aquos Quattron LC-60LE830U","","1080p (FullHD)","60 in","May. 11, 2011"
"Sharp LC 52LE830U - 52' Class ( 52.03' viewable ) LED TV","","1080p (FullHD)","52 in","May. 12, 2011"
"Sharp LC 40LE830U - 40' LED TV","","1080p (FullHD)","40 in","May. 12, 2011"
"Panasonic TC-P65ST30","Yes","1080p","65 in","May. 4, 2011"
"Sharp LC 46LE830U - 46' LED TV","","1080p (FullHD)","46 in","May. 12, 2011"
"Panasonic TC-P60ST30","Yes","1080p","60 in","May. 4, 2011"
"Samsung UN46D8000","Yes","1080p (FullHD)","46 in","Apr. 26, 2011"
"Samsung UN65D8000 - 65' Class ( 64.5' viewable ) 3D LED TV","Yes","1080p (FullHD)","65 in","Apr. 26, 2011"
"Samsung UN55D8000","Yes","1080p","55 in","Apr. 26, 2011"
"Panasonic TC-P50GT30","Yes","1080p","50 in","Apr. 18, 2011"
"Samsung UN40D6400","Yes","1080p","40 in","Apr. 6, 2011"
"Samsung UN55D6400","Yes","1080p","55 in","Apr. 6, 2011"
"Samsung UN46D6400","Yes 
Passive-3D compatible","1080p","46 in","Apr. 6, 2011"
"Samsung UN60D6400","Yes","1080p","60 in","Apr. 6, 2011"
"Sony Bravia KDL-32EX720","Yes","1080p","32 in","Mar. 18, 2011"
"Sony Bravia KDL-55EX720","Yes","1080p","55 in","Mar. 18, 2011"
"Sony Bravia KDL-60EX720","Yes","1080p","60 in","Mar. 18, 2011"
"VIZIO Edge Lit Razor LED XVT3D650SV - 65' Class ( 64.5' viewable ) 3D LED TV","Yes","1080p (FullHD)","65 in","Feb. 15, 2011"
"Samsung LN26C350","","720p","26 in","Feb. 8, 2011"
"Samsung LN32C350","","720p","32 in","Feb. 8, 2011"
"Samsung LN22C350","","720p","22 in","Feb. 8, 2011"
"Samsung LN19C350","","720p","19 in","Feb. 8, 2011"
"Sony Internet TV NSX-46GT1 - 46' LED TV","","1080p (FullHD)","46 in","Nov. 9, 2010"
"Sony NSX-40GT1 (Google TV)","","1080p","40 in","Nov. 9, 2010"
"Sony NSX-32GT1 (Google TV)","","1080p","32 in","Nov. 9, 2010"
"Sony NSX-24GT1 (Google TV)","","1080p","24 in","Nov. 9, 2010"
"LG 47LD520","","1080p (FullHD)","47 in","Oct. 27, 2010"
"Panasonic Viera TC-P42GT25","Yes","1080p","42.0 in","Oct. 18, 2010"
"Samsung PN63C8000","Yes","1080p (FullHD)","63 in","Oct. 4, 2010"
"LG 55LD520","","1080p","55 in","Oct. 27, 2010"
"Samsung PN58C8000 - 58' 3D plasma TV","Yes","1080p (FullHD)","58 in","Oct. 5, 2010"
"Samsung PN50C8000 - 50' 3D plasma TV","Yes","1080p (FullHD)","50 in","Oct. 5, 2010"
"LG Infinia 55LX9500","","1080p","55 in","Sep. 27, 2010"
"VIZIO E420VL - 42' LCD TV","","1080p (FullHD)","42 in","Sep. 20, 2010"
"Vizio E320VL","","720p","32 in","Sep. 20, 2010"
"Vizio E550VL","","1080p","55 in","Sep. 20, 2010"
"Sony Bravia KDL-40EX500","","1080p (FullHD)","40 in","Sep. 13, 2010"
"Sony Bravia KDL-46EX500","","1080p (FullHD)","46 in","Sep. 13, 2010"
"Sony Bravia KDL-32EX500","","1080p (FullHD)","32 in","Sep. 13, 2010"
"Sony Bravia KDL-55EX500","","1080p (FullHD)","55 in","Sep. 13, 2010"
"Sony Bravia KDL-60EX500","","1080p (FullHD)","60 in","Sep. 13, 2010"
"Samsung LN46C630","","1080p (FullHD)","46 in","Sep. 1, 2010"
"Samsung LN40C630","","1080p (FullHD)","40 in","Sep. 1, 2010"
"Samsung LN55C630","","1080p (FullHD)","55 in","Sep. 1, 2010"
"VIZIO XVT423SV - 42' LED TV","","1080p (FullHD)","42 in","Aug. 23, 2010"
"Vizio XVT553SV","","1080p (FullHD)","55 in","Aug. 23, 2010"
"VIZIO TruLED XVT473SV - 47' LED TV","","1080p (FullHD)","47 in","Aug. 23, 2010"
"Vizio XVT323SV","","1080p (FullHD)","32 in","Aug. 23, 2010"
"VIZIO XVT423SV - 42' LED TV","","1080p (FullHD)","42 in","Aug. 23, 2010"
"Panasonic Viera TC-P54S2","","1080p (FullHD)","54 in","Aug. 10, 2010"
"Panasonic Viera TC-P65S2","","1080p","65 in","Aug. 10, 2010"
"Samsung UN32C6500","","1080p (FullHD)","32 in","Aug. 3, 2010"
"Panasonic Viera TC-P46S2","","1080p","46 in","Aug. 10, 2010"
"Samsung UN46C6500","","1080p (FullHD)","46 in","Aug. 3, 2010"
"Samsung UN55C6500","","1080p (FullHD)","55 in","Aug. 3, 2010"
"Samsung UN65C6500","","1080p (FullHD)","65 in","Aug. 3, 2010"
"Samsung PN63C7000 - 63' 3D plasma TV","Yes","1080p (FullHD)","63 in","Jul. 14, 2010"
"Samsung PN58C7000 - 58' 3D plasma TV","Yes","1080p (FullHD)","58 in","Jul. 14, 2010"
"Samsung PN50C7000","Yes","1080p (FullHD)","50 in","Jul. 14, 2010"
"Sony XBR 46HX909 - 46' 3D LED TV","Yes","1080p (FullHD)","46 in","Jun. 29, 2010"
"Sony XBR 52HX909 - 52' 3D LED TV","Yes","1080p (FullHD)","52 in","Jun. 29, 2010"
"Panasonic Viera TC-P50VT25","Yes","1080p","50 in","Jun. 16, 2010"
"Panasonic Viera TC-P54VT25","Yes","1080p (FullHD)","54 in","Jun. 16, 2010"
"Panasonic Viera TC-P65VT25","Yes","1080p","65 in","Jun. 16, 2010"
"Panasonic Viera TC-P58VT25","Yes","1080p","58 in","Jun. 16, 2010"
"Panasonic Viera TC-P46G25","","1080p","46 in","May. 11, 2010"
"Panasonic Viera TC-P46G25","","1080p","46 in","May. 11, 2010"
"Panasonic Viera TC-P50G25","","1080p (FullHD)","50 in","May. 11, 2010"
"Panasonic Viera TC-P54G25","","1080p","54 in","May. 11, 2010"
"LG 50PK750","","1080p","50 in","May. 4, 2010"
"LG 60PK750","","","","May. 4, 2010"
"Samsung UN55C8000","Yes","1080p (FullHD)","55 in","Apr. 7, 2010"
"Vizio SV422XVT","","1080p (FullHD)","42 in","Apr. 18, 2010"
"Samsung UN65C8000","Yes","1080p (FullHD)","65 in","Apr. 7, 2010"
"Samsung UN46C8000","Yes","1080p (FullHD)","46 in","Apr. 7, 2010"
"LG Infinia 55LE8500","","1080p (FullHD)","55 in","Mar. 28, 2010"
"LG Infinia 47LE8500","","1080p (FullHD)","47 in","Mar. 28, 2010"
"Sony Bravia KDL-46EX700","","1080p","46 in","Mar. 17, 2010"
"Sony Bravia KDL-40EX700","","","40 in","Mar. 17, 2010"
